smiles,wxid,subset,reagent_id
Nc1cc(Cl)ncc1Br,AF0522,AF,AF0522_AF
Cn1ncc(C(N)=O)c1N,AF0523,AF,AF0523_AF
CCOC(=O)c1nc2ccc(C(F)(F)F)cn2c1N,AF0525,AF,AF0525_AF
Nc1ccnc(Cl)c1Br,AF0526,AF,AF0526_AF
Nc1ncc(C(F)(F)F)cc1I,AF0530,AF,AF0530_AF
Nc1cc(-c2cccc(Br)c2)no1,AF0531,AF,AF0531_AF
Nc1cc(-c2ccc(Cl)cc2)no1,AF0532,AF,AF0532_AF
Nc1cc(-c2cccc(C(F)(F)F)c2)no1,AF0533,AF,AF0533_AF
CC(C)(C)OC(=O)N1CCN(c2ccc(N)cn2)CC1,AF0534,AF,AF0534_AF
Nc1cc(C(F)(F)F)no1,AF0535,AF,AF0535_AF
CC(=O)c1cccnc1N,AF0536,AF,AF0536_AF
CC(C)(C)n1cc(C#N)cc1N,AF0537,AF,AF0537_AF
Nc1ncc(Br)cc1C(F)(F)F,AF0538,AF,AF0538_AF
COc1ncc(N)cc1C,AF0539,AF,AF0539_AF
Nc1nc(Br)ccc1[N+](=O)[O-],AF0540,AF,AF0540_AF
Nc1ncc(Br)cc1I,AF0542,AF,AF0542_AF
COc1nccc(N)c1Br,AF0543,AF,AF0543_AF
Nc1ccnc(Cl)c1Cl,AF0546,AF,AF0546_AF
NC(=O)c1c(N)sc2c1CCOC2,AF0547,AF,AF0547_AF
COc1ncc(Br)cc1N,AF0548,AF,AF0548_AF
CCOc1cccnc1N,AF0549,AF,AF0549_AF
Nc1cccnc1N1CCCCC1,AF0553,AF,AF0553_AF
NC(=O)c1ncc(Br)cc1N,AF0558,AF,AF0558_AF
CCOC(=O)c1nc[nH]c1N,AF0563,AF,AF0563_AF
Nc1cc(C(F)(F)F)cnc1Cl,AF0567,AF,AF0567_AF
N#Cc1ncc(Br)cc1N,AF0568,AF,AF0568_AF
CC(C)(C)n1cc(N)cn1,AF0569,AF,AF0569_AF
Nc1ccnn1Cc1ccccc1,AF0570,AF,AF0570_AF
Cc1cc(C(F)(F)F)ncc1N,AF0571,AF,AF0571_AF
Cc1cnc(N)c(O)c1,AF0572,AF,AF0572_AF
COC(=O)c1cc(C)sc1N,AF0575,AF,AF0575_AF
